ID TAREA,TIPO DE TAREA,TAREA,DESCRIPCIÓN,VARIANTES,CATEGORIA,OBJETIVO,ESPACIO,SERIES,TIEMPO SERIES,TIEMPO TOTAL,MATERIAL,IMAGEN TAREA,ENLACE VIDEO DRIVE,ID_ENLACE_VIDEO_DRIVE,VIDEO_DRIVE
T1,ACCIONES COMBINADAS,1x1 VELOCIDAD,Iniciamos con pase del azul al rojo que devuelve para intentar cogerle. El. Azul tendrá que llegar a la zona marcada para poder hacer gol. El rojo tendrá que bordear el cono para poder robar al azul.,Realizar algún pase más antes de la velocidad.,"INFANTIL , ALEVIN , BENJAMIN",VELOCIDAD,1/2 Campo,3,3,12,"BALONES , CONOS , PETOS , PORTERIA PEQUEÑA",TAREAS_Images/6d88e7bb.IMAGEN TAREA.164224.jpg,https://drive.google.com/file/d/17UA-xBMGJ0HBmiBaTv5SXzD-alPKoH16/view?usp=share_link,17UA-xBMGJ0HBmiBaTv5SXzD-alPKoH16,http://drive.google.com/uc?id=17UA-xBMGJ0HBmiBaTv5SXzD-alPKoH16
T2,ABP,CORNER A FAVOR N1,"Trabajo de ABP, para crear acciones en córner a favor y en contra.",,"SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN",ABP,1/2 Campo,8,1,10,"BALONES , PETOS",TAREAS_Images/12VFDR97.IMAGEN TAREA.174430.jpg,,,http://drive.google.com/uc?id=
T3,ACCIONES COMBINADAS,1x1.1x2 COBERTURAS,"Jugamos en dos espacios. En el de la izquierda, se juega un 1x1, si el atacante consigue superar con balón controlado la mitad del espacio, entrará un rival que realizará una cobertura para hacer una situación de 1x2 con finalización en porterías pequeñas. En el espacio de la derecha, se juega un 1x1, si el atacante consigue superar con balón controlado la mitad del espacio entrarán un rival y un compañero y se jugará una acción de 2x1 con finalización en porterías pequeñas.","Si los rivales roban, pueden marcar gol en portería de la primera mitad.","CADETE , INFANTIL , ALEVIN",COBERTURAS,30x15,4,3,15,"BALONES , CHINOS , PETOS , PORTERIA PEQUEÑA",TAREAS_Images/12VFDR98.IMAGEN TAREA.171228.jpg,https://drive.google.com/file/d/1Ycg9_273v1QAmxYuH3pS4v2J1t7KAw-k/view?usp=share_link,1Ycg9_273v1QAmxYuH3pS4v2J1t7KAw-k,http://drive.google.com/uc?id=1Ycg9_273v1QAmxYuH3pS4v2J1t7KAw-k
T4,ACCIONES COMBINADAS,2x1 VELOCIDAD,"Iniciamos con pase del azul al rojo que devuelve para intentar cogerle. Saldrá en carrera con el que inicia, un compañero para jugar un 2x1. Los azules tendrán que llegar a la zona marcada para poder hacer gol. El rojo tendrá que bordear el cono para poder robar.",Realizar algún pase más antes de la velocidad.,"INFANTIL , ALEVIN , BENJAMIN",VELOCIDAD,1/2 Campo,3,3,12,"BALONES , CHINOS , PETOS , PORTERIA PEQUEÑA",TAREAS_Images/12VFDR99.IMAGEN TAREA.171252.jpg,https://drive.google.com/file/d/19AQFNlYe4Cpv6sK27coF_WV96vHTOv19/view?usp=share_link,19AQFNlYe4Cpv6sK27coF_WV96vHTOv19,http://drive.google.com/uc?id=19AQFNlYe4Cpv6sK27coF_WV96vHTOv19
T5,ACCIONES COMBINADAS,ACCION COMBINADA - SALIDA CENTRAL,"Iniciamos portero con central, este avanzara y jugara con el medio de la banda que deja al medio centro, este abre al delantero que mete balón en profundidad al otro medio de la banda contraria que centrara y el delantero rematara. Vamos a hacer amago de ir al primer palo del delantero para rematar en el 2º.",Meter oposición,"SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN",PROGRESAR,1/2 Campo,4,3,15,"BALONES , CHINOS , PETOS",TAREAS_Images/12VFDR100.IMAGEN TAREA.171325.jpg,https://drive.google.com/file/d/16_AHb9g4iDDXQjmU9M6I_uFPKbGmuW8r/view?usp=share_link,16_AHb9g4iDDXQjmU9M6I_uFPKbGmuW8r,http://drive.google.com/uc?id=16_AHb9g4iDDXQjmU9M6I_uFPKbGmuW8r
T6,ACCIONES COMBINADAS,ACCION COMBINADA ATAQUE 1-2-3-2,"Creamos una jugada de ataque para el sistema 1-2-3-2, donde buscaremos que cuando el jugador de banda reciba el balón, el delantero de su lado ocupe el espacio detrás del jugador rival que salga a presionar al nuestro jugador de banda. A partir de ahí, intentaremos acabar con un centro y remate. Ocupando bien las zonas de remate.",Meter oposición,"ALEVIN , BENJAMIN",PROGRESAR,1/2 Campo,3,3,12,"BALONES , CHINOS , PETOS",TAREAS_Images/12VFDR101.IMAGEN TAREA.171359.jpg,https://drive.google.com/file/d/18dYMT3ud1H6gQqezIIChldXUYO4zkCM3/view?usp=share_link,18dYMT3ud1H6gQqezIIChldXUYO4zkCM3,http://drive.google.com/uc?id=18dYMT3ud1H6gQqezIIChldXUYO4zkCM3
T7,ACCIONES COMBINADAS,ACCION COMBINADA INICIO PORTERO + CENTRO LATERAL,"Iniciamos la acción con un pase del portero, seguimos la secuencia de pases, para acabar con un pase interior y una finalización. Lo hacemos por los dos perfiles, teniendo que utilizar las dos piernas para pasar y finalizar.",Meter oposición,"SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN",PROGRESAR,1/2 Campo,4,4,20,"BALONES , CHINOS , PETOS , PICAS",TAREAS_Images/12VFDR102.IMAGEN TAREA.171421.jpg,https://drive.google.com/file/d/17_wQjK9GW3V8g2SpZc8j0LuOGqqlhHPA/view?usp=share_link,17_wQjK9GW3V8g2SpZc8j0LuOGqqlhHPA,http://drive.google.com/uc?id=17_wQjK9GW3V8g2SpZc8j0LuOGqqlhHPA
T8,ACCIONES COMBINADAS,AMPLITUD TRAS ROBO + FINALIZACIÓN,"Jugamos en el espacio central un 7x7 (depende de los jugadores que tengamos en la sesión). El equipo que tiene la posesión tiene que intentar dar 6 pases antes de abrir a banda para atacar centro lateral. Podrán entrar al remate 3 jugadores del equipo que tiene la posesión. El equipo que defiende tiene que intentar robar y marcar gol en las porterías pequeñas, si marca hay cambio de rol, sino marca siguen robando. Si el equipo rival, consigue llegar al centro, podrán entrar 2 defensores a defender el centro lateral.","Poner un defensor en las bandas, para cuando consigan jugar por fuera, que antes de centrar, tenga que jugar un 1x1.","SENIOR , JUVENIL , CADETE , INFANTIL",AMPLITUD,40x20,4,4,20,"BALONES , CHINOS , PETOS , PORTERIA PEQUEÑA",TAREAS_Images/12VFDR103.IMAGEN TAREA.171605.jpg,https://drive.google.com/file/d/1PbIz8MwQlEu0v4Ix-Xw5uiuIkXzIH2rM/view?usp=share_link,1PbIz8MwQlEu0v4Ix-Xw5uiuIkXzIH2rM,http://drive.google.com/uc?id=1PbIz8MwQlEu0v4Ix-Xw5uiuIkXzIH2rM
T9,ACCIONES COMBINADAS,ATAQUES 2x1.4x3,"Se inicia la acción con un pase al jugador que está dentro, este tendrá que aguantar el balón en su poder durante 5 segundos para jugar un 2x1. Cuando acaba la acción, entran 2 compañeros y 2 rivales para jugar un 4x3. En todas las acciones, si el equipo en inferioridad consigue robar, podrá marcar gol en portería pequeña.",,"SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN",BUSCAR SUPERIORIDADES,Doble area,4,4,20,"BALONES , CHINOS , PETOS , PORTERIA PEQUEÑA",TAREAS_Images/12VFDR63.IMAGEN TAREA.170902.jpg,https://drive.google.com/file/d/17IYbOy5Bgut6T4gZlGk61TBMhUTW-PwZ/view?usp=share_link,17IYbOy5Bgut6T4gZlGk61TBMhUTW-PwZ,http://drive.google.com/uc?id=17IYbOy5Bgut6T4gZlGk61TBMhUTW-PwZ
T10,ACCIONES COMBINADAS,ATAQUE 3x2 - 2 ZONAS,"Se inicia con un ataque en superioridad de los azules (3x2) en una zona, cuando acaba la acción (no hay opción a contra), saldrán otros 5 jugadores nuevos, siendo ahora el equipo rojo el que ataque en superioridad. Previo a la participación de los jugadores, realizaran un slalom en la parte lateral de la tarea, para entrar activados a ella.",,"SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN",BUSCAR SUPERIORIDADES,1/2 Campo,4,4,20,"BALONES , CHINOS , PETOS , PORTERIA PEQUEÑA",TAREAS_Images/12VFDR105.IMAGEN TAREA.171627.jpg,https://drive.google.com/file/d/1AAsMtTMpo--LvDAUxEeQXogd50FRZTc9/view?usp=share_link,1AAsMtTMpo--LvDAUxEeQXogd50FRZTc9,http://drive.google.com/uc?id=1AAsMtTMpo--LvDAUxEeQXogd50FRZTc9
